team_code,scorer
BRA,Alisson Becker
BRA,Danilo
BRA,Marquinhos
BRA,Gabriel
BRA,Douglas Santos
BRA,Casemiro
BRA,Bruno Guimarães
BRA,Lucas Paquetá
BRA,Rayan
BRA,Matheus Cunha
BRA,Vinícius Júnior
JPN,Zion Suzuki
JPN,Takehiro Tomiyasu
JPN,Ko Itakura
JPN,Hiroki Ito
JPN,Yukinari Sugawara
JPN,Ao Tanaka
JPN,Daichi Kamada
JPN,Keito Nakamura
JPN,Ritsu Doan
JPN,Daizen Maeda
JPN,Ayase Ueda
CIV,Yahia Fofana
CIV,Guéla Doué
CIV,Odilon Kossounou
CIV,Ousmane Diomande
CIV,Christopher Opéri
CIV,Ibrahim Sangaré
CIV,Franck Kessié
CIV,Amad Diallo
CIV,Nicolas Pépé
CIV,Yan Diomande
CIV,Ange-Yoan Bonny
CIV,Alban Lafont
CIV,Mohamed Koné
CIV,Emmanuel Agbadou
CIV,Evan N'Dicka
CIV,Ghislain Konan
CIV,Wilfried Singo
CIV,Christ Inao Oulaï
CIV,Jean Michaël Seri
CIV,Seko Fofana
CIV,Bazoumana Touré
CIV,Elye Wahi
CIV,Evann Guessand
CIV,Oumar Diakité
CIV,Parfait Guiagon
CIV,Simon Adingra
NOR,Egil Selvik
NOR,Fredrik Aursnes
NOR,Henrik Falchener
NOR,Leo Østigard
NOR,Fredrik André Bjørkan
NOR,Kristian Thorstvedt
NOR,Patrick Berg
NOR,Thelo Aasgaard
NOR,Oscar Bobb
NOR,Jørgen Strand Larsen
NOR,Andreas Schjelderup
NOR,Ørjan Håskjold Nyland
NOR,Sander Tangvik
NOR,David Møller Wolfe
NOR,Kristoffer Ajer
NOR,Sondre Klingen Langås
NOR,Torbjørn Heggem
NOR,Julian Ryerson
NOR,Marcus Holmgren Pedersen
NOR,Martin Ødegaard
NOR,Morten Thorsby
NOR,Sander Berge
NOR,Alexander Sørloth
NOR,Antonio Nusa
NOR,Erling Haaland
NOR,Jens Petter Hauge
MEX,Raúl Rangel
MEX,Jorge Sánchez
MEX,César Montes
MEX,Israel Reyes
MEX,Mateo Chávez
MEX,Edson Álvarez
MEX,Roberto Alvarado
MEX,Gilberto Mora
MEX,Luis Romo
MEX,Julián Quiñones
MEX,Guillermo Martínez
MEX,Carlos Acevedo
MEX,Guillermo Ochoa
MEX,Érik Lira
MEX,Jesús Gallardo
MEX,Johan Vásquez
MEX,Álvaro Fidalgo
MEX,Brian Gutiérrez
MEX,Luis Chávez
MEX,Obed Vargas
MEX,Orbelín Pineda
MEX,Alexis Vega
MEX,Armando González
MEX,César Huerta
MEX,Raul Jiménez
MEX,Santiago Giménez
ECU,Hernán Galindez
ECU,Alan Franco
ECU,Joel Ordóñez
