code,as_of_date,matches_count,gf_ma15,ga_ma15,corners_for_ma15,corners_against_ma15,cards_ma15,shots_ma15,shots_on_target_ma15,possession_ma15,elo
KSA,2026-06-29,15,0.9333333333333333,1.3333333333333333,2.3333333333333335,8.0,2.0,5.666666666666667,2.3333333333333335,38.333333333333336,1712.4322797455466
MAR,2026-06-29,15,2.066666666666667,0.4666666666666667,5.333333333333333,3.0,0.3333333333333333,16.0,5.333333333333333,59.0,2036.295198609012
MEX,2026-06-29,15,1.5333333333333334,0.6,1.3333333333333333,2.6666666666666665,1.0,11.666666666666666,4.333333333333333,50.0,2023.380311790101
NED,2026-06-29,15,2.8,0.8,4.333333333333333,4.333333333333333,1.0,13.333333333333334,6.666666666666667,60.666666666666664,2051.6940048743795
NOR,2026-06-29,15,2.8666666666666667,1.0,4.666666666666667,3.6666666666666665,0.3333333333333333,11.666666666666666,5.333333333333333,48.666666666666664,2005.2437860413368
NZL,2026-06-29,15,0.8666666666666667,2.0,3.3333333333333335,5.0,1.3333333333333333,10.333333333333334,5.0,47.333333333333336,1690.5538172188972
PAN,2026-06-29,15,1.3333333333333333,1.4,4.0,3.6666666666666665,1.6666666666666667,10.666666666666666,2.3333333333333335,45.666666666666664,1782.168701096656
PAR,2026-06-29,15,1.2,1.0666666666666667,0.6666666666666666,6.0,2.6666666666666665,7.666666666666667,1.6666666666666667,33.666666666666664,1927.043855487799
POR,2026-06-29,15,2.4,0.8666666666666667,3.3333333333333335,3.6666666666666665,1.3333333333333333,12.333333333333334,4.0,62.0,2053.2709846996513
QAT,2026-06-29,15,0.7333333333333333,2.0,3.0,11.333333333333334,2.0,5.666666666666667,2.0,33.0,1545.3447918229842
RSA,2026-06-29,15,1.2,0.9333333333333333,3.3333333333333335,4.666666666666667,2.3333333333333335,11.0,3.3333333333333335,44.666666666666664,1713.0578124921146
SCO,2026-06-29,15,1.8,1.1333333333333333,4.0,5.0,1.6666666666666667,9.666666666666666,2.3333333333333335,44.333333333333336,1840.0958787530874
SEN,2026-06-29,15,2.3333333333333335,1.0,6.666666666666667,4.666666666666667,0.6666666666666666,16.666666666666668,6.0,58.0,1914.7542103191845
SUI,2026-06-29,15,2.466666666666667,0.8666666666666667,6.333333333333333,4.333333333333333,1.0,15.0,6.0,61.666666666666664,1992.4840043054764
SWE,2026-06-29,15,1.7333333333333334,2.0,5.666666666666667,2.0,1.6666666666666667,13.333333333333334,6.666666666666667,48.666666666666664,1808.1151281531827
TUN,2026-06-29,15,1.0666666666666667,1.8666666666666667,3.0,5.0,0.3333333333333333,6.0,2.0,39.333333333333336,1664.6400748336769
TUR,2026-06-29,15,2.0,1.3333333333333333,7.333333333333333,4.666666666666667,0.6666666666666666,23.666666666666668,5.333333333333333,65.66666666666667,1943.9076617400544
URU,2026-06-29,15,0.8666666666666667,0.9333333333333333,8.666666666666666,4.666666666666667,2.0,16.333333333333332,4.333333333333333,55.0,1929.4546266172897
USA,2026-06-29,15,1.9333333333333333,1.6,6.333333333333333,2.3333333333333335,1.6666666666666667,14.666666666666666,5.0,60.0,1890.8513948113089
UZB,2026-06-29,15,1.2,1.4666666666666666,3.0,3.0,1.3333333333333333,6.0,1.6666666666666667,38.333333333333336,1741.2965881288208
